ans = x0 alpha lambda iteraciones punto-final
ans = (1.00, 1.00) 0.050 0.683 10000 (5.50, 7.19)
ans = (1.00, 1.00) 0.050 0.789 10000 (5.37, 6.88)
ans = (1.00, 1.00) 0.050 0.894 10000 (5.25, 6.61)
ans = (1.00, 1.00) 0.050 1.000 10000 (5.15, 6.38)
ans = (1.00, 1.00) 0.156 0.050 10000 (8.96, 20.57)
ans = (1.00, 1.00) 0.156 0.156 10000 (7.95, 15.17)
ans = (1.00, 1.00) 0.156 0.261 10000 (7.48, 13.17)
ans = (1.00, 1.00) 0.156 0.367 10000 (7.17, 11.99)
ans = (1.00, 1.00) 0.156 0.472 10000 (6.93, 11.17)
ans = (1.00, 1.00) 0.156 0.578 10000 (6.74, 10.55)
ans = (1.00, 1.00) 0.156 0.683 10000 (6.58, 10.06)
ans = (1.00, 1.00) 0.156 0.789 10000 (6.45, 9.65)
ans = (1.00, 1.00) 0.156 0.894 10000 (6.33, 9.31)
ans = (1.00, 1.00) 0.156 1.000 10000 (6.22, 9.01)
ans = (1.00, 1.00) 0.261 0.050 10000 (9.99, 23.43)
ans = (1.00, 1.00) 0.261 0.156 10000 (8.53, 17.42)
ans = (1.00, 1.00) 0.261 0.261 10000 (8.04, 15.15)
ans = (1.00, 1.00) 0.261 0.367 10000 (7.70, 13.81)
ans = (1.00, 1.00) 0.261 0.472 10000 (7.46, 12.89)
ans = (1.00, 1.00) 0.261 0.578 10000 (7.26, 12.19)
ans = (1.00, 1.00) 0.261 0.683 10000 (7.09, 11.63)
ans = (1.00, 1.00) 0.261 0.789 10000 (6.96, 11.18)
ans = (1.00, 1.00) 0.261 0.894 10000 (6.83, 10.79)
ans = (1.00, 1.00) 0.261 1.000 10000 (6.73, 10.46)
ans = (1.00, 1.00) 0.367 0.050 9050 (10.81, 24.79)
ans = (1.00, 1.00) 0.367 0.156 10000 (8.93, 19.05)
ans = (1.00, 1.00) 0.367 0.261 10000 (8.41, 16.59)
ans = (1.00, 1.00) 0.367 0.367 10000 (8.07, 15.14)
ans = (1.00, 1.00) 0.367 0.472 10000 (7.81, 14.13)
ans = (1.00, 1.00) 0.367 0.578 10000 (7.61, 13.38)
ans = (1.00, 1.00) 0.367 0.683 10000 (7.44, 12.78)
ans = (1.00, 1.00) 0.367 0.789 10000 (7.30, 12.28)
ans = (1.00, 1.00) 0.367 0.894 10000 (7.17, 11.86)
ans = (1.00, 1.00) 0.367 1.000 10000 (7.06, 11.50)
